"task_id","cost_delta_archive_minus_current","archive_estimated_cost","current_estimated_cost","upload_submission_path"
"task149","223","455","232","outputs\ablation_submissions\ref6275_local_single_task_20260611\task149_LocalOverReference\submission.zip"
"task376","193","536","343","outputs\ablation_submissions\ref6275_local_single_task_20260611\task376_LocalOverReference\submission.zip"
"task023","187","303","116","outputs\ablation_submissions\ref6275_local_single_task_20260611\task023_LocalOverReference\submission.zip"
"task192","109","436","327","outputs\ablation_submissions\ref6275_local_single_task_20260611\task192_LocalOverReference\submission.zip"
"task057","74","173","99","outputs\ablation_submissions\ref6275_local_single_task_20260611\task057_LocalOverReference\submission.zip"
"task242","74","398","324","outputs\ablation_submissions\ref6275_local_single_task_20260611\task242_LocalOverReference\submission.zip"
"task092","73","163","90","outputs\ablation_submissions\ref6275_local_single_task_20260611\task092_LocalOverReference\submission.zip"
"task003","64","138","74","outputs\ablation_submissions\ref6275_local_single_task_20260611\task003_LocalOverReference\submission.zip"
"task012","9","596","587","outputs\ablation_submissions\ref6275_local_single_task_20260611\task012_LocalOverReference\submission.zip"
"task297","5","369","364","outputs\ablation_submissions\ref6275_local_single_task_20260611\task297_LocalOverReference\submission.zip"
"task173","2","753","751","outputs\ablation_submissions\ref6275_local_single_task_20260611\task173_LocalOverReference\submission.zip"
"task049","0","942","942","outputs\ablation_submissions\ref6275_local_single_task_20260611\task049_LocalOverReference\submission.zip"
"task040","0","370","370","outputs\ablation_submissions\ref6275_local_single_task_20260611\task040_LocalOverReference\submission.zip"
"task029","0","978","978","outputs\ablation_submissions\ref6275_local_single_task_20260611\task029_LocalOverReference\submission.zip"
"task079","0","1301","1301","outputs\ablation_submissions\ref6275_local_single_task_20260611\task079_LocalOverReference\submission.zip"
"task379","0","5364","5364","outputs\ablation_submissions\ref6275_local_single_task_20260611\task379_LocalOverReference\submission.zip"
"task005","0","1044","1044","outputs\ablation_submissions\ref6275_local_single_task_20260611\task005_LocalOverReference\submission.zip"
"task039","0","248","248","outputs\ablation_submissions\ref6275_local_single_task_20260611\task039_LocalOverReference\submission.zip"
"task031","0","470","470","outputs\ablation_submissions\ref6275_local_single_task_20260611\task031_LocalOverReference\submission.zip"
"task259","0","382","382","outputs\ablation_submissions\ref6275_local_single_task_20260611\task259_LocalOverReference\submission.zip"
"task165","0","3162","3162","outputs\ablation_submissions\ref6275_local_single_task_20260611\task165_LocalOverReference\submission.zip"
"task174","0","614","614","outputs\ablation_submissions\ref6275_local_single_task_20260611\task174_LocalOverReference\submission.zip"
"task185","0","595","595","outputs\ablation_submissions\ref6275_local_single_task_20260611\task185_LocalOverReference\submission.zip"
"task244","0","761","761","outputs\ablation_submissions\ref6275_local_single_task_20260611\task244_LocalOverReference\submission.zip"
"task100","0","335","335","outputs\ablation_submissions\ref6275_local_single_task_20260611\task100_LocalOverReference\submission.zip"
"task286","0","4145","4145","outputs\ablation_submissions\ref6275_local_single_task_20260611\task286_LocalOverReference\submission.zip"
"task112","0","564","564","outputs\ablation_submissions\ref6275_local_single_task_20260611\task112_LocalOverReference\submission.zip"
"task126","0","347","347","outputs\ablation_submissions\ref6275_local_single_task_20260611\task126_LocalOverReference\submission.zip"
"task274","0","2057","2057","outputs\ablation_submissions\ref6275_local_single_task_20260611\task274_LocalOverReference\submission.zip"
