task_id,rule_name,near_miss_type,matched_cases,total_cases,first_failed_case,reason,suggested_fix
task050,OneStepTranslationRule,blocked_by_shared_shape,,8,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task051,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task052,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task054,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task055,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task056,GeneralizedPanelRule,panel_rule_near_miss,,7,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task057,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task058,OneStepTranslationRule,blocked_by_shared_shape,,5,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task059,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task060,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task061,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task062,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task063,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task064,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task066,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task067,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task068,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task069,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task070,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task071,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task074,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task075,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task076,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task077,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task078,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task079,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task080,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task082,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task083,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task084,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task085,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task086,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task088,CropRule,blocked_by_shared_output_shape,,4,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task089,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task090,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task091,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task092,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task093,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task094,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task096,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task097,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task098,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task099,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task100,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task101,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task102,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task103,GeneralizedPanelRule,panel_rule_near_miss,,6,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task104,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task105,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task106,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task107,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task108,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task109,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task110,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task111,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task112,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task113,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task114,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task115,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task117,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task118,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task119,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task120,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task121,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task122,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task123,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task124,StridedSubsampleRule,blocked_by_shared_shape,,3,,strided_subsample_requires_shared_shapes,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task125,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task126,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task127,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task128,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task129,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task131,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task132,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task133,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task134,StridedSubsampleRule,blocked_by_shared_shape,,3,,strided_subsample_requires_shared_shapes,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task136,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task137,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task138,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task139,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task141,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task142,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task143,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task145,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task146,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task148,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task149,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task151,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task152,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task153,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task154,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task156,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task157,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task158,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task159,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task160,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task161,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task162,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task163,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task165,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task166,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task167,GeneralizedPanelRule,panel_rule_near_miss,,5,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task168,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task169,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task170,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task173,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task174,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task175,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task176,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task178,CropRule,blocked_by_shared_output_shape,,5,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task179,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task180,GeneralizedPanelRule,panel_rule_near_miss,,5,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task181,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task182,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task183,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task184,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task185,StridedSubsampleRule,blocked_by_shared_shape,,4,,strided_subsample_requires_shared_shapes,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task186,GeneralizedPanelRule,panel_rule_near_miss,,10,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task187,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task188,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task189,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task190,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task191,GeneralizedPanelRule,panel_rule_near_miss,,4,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task192,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task193,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task194,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task195,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task196,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task197,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task198,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task199,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task200,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task201,CropRule,blocked_by_shared_output_shape,,4,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task202,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task203,OneStepTranslationRule,blocked_by_shared_shape,,4,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task204,OneStepTranslationRule,blocked_by_shared_shape,,5,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task205,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task206,OneStepTranslationRule,blocked_by_shared_shape,,3,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
task208,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task209,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task211,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task212,GeneralizedPanelRule,panel_rule_near_miss,,2,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task213,CropRule,blocked_by_shared_output_shape,,3,,crop_requires_one_shared_output_size,Allow per-case output shape when the rule semantics can infer active output area safely.
task214,GeneralizedPanelRule,panel_rule_near_miss,,3,,no generalized panel layout found,Add panel selection/extraction probes beyond binary AND/OR/XOR panel operations.
task215,OneStepTranslationRule,blocked_by_shared_shape,,2,,translation_requires_one_shared_grid_size,Remove cross-case shared-shape requirement; operate on padded 30x30 with active-cell semantics.
