"task_id","upload_submission_path","online_score","delta_vs_6275_09","decision"
"task023","outputs\ablation_submissions\ref6275_local_single_task_20260611\task023_LocalOverReference\submission.zip","","",""
"task192","outputs\ablation_submissions\ref6275_local_single_task_20260611\task192_LocalOverReference\submission.zip","","",""
"task057","outputs\ablation_submissions\ref6275_local_single_task_20260611\task057_LocalOverReference\submission.zip","","",""
"task242","outputs\ablation_submissions\ref6275_local_single_task_20260611\task242_LocalOverReference\submission.zip","","",""
"task092","outputs\ablation_submissions\ref6275_local_single_task_20260611\task092_LocalOverReference\submission.zip","","",""
"task003","outputs\ablation_submissions\ref6275_local_single_task_20260611\task003_LocalOverReference\submission.zip","","",""
"task012","outputs\ablation_submissions\ref6275_local_single_task_20260611\task012_LocalOverReference\submission.zip","","",""
"task297","outputs\ablation_submissions\ref6275_local_single_task_20260611\task297_LocalOverReference\submission.zip","","",""
"task173","outputs\ablation_submissions\ref6275_local_single_task_20260611\task173_LocalOverReference\submission.zip","","",""
"task049","outputs\ablation_submissions\ref6275_local_single_task_20260611\task049_LocalOverReference\submission.zip","","",""
"task040","outputs\ablation_submissions\ref6275_local_single_task_20260611\task040_LocalOverReference\submission.zip","","",""
"task029","outputs\ablation_submissions\ref6275_local_single_task_20260611\task029_LocalOverReference\submission.zip","","",""
"task079","outputs\ablation_submissions\ref6275_local_single_task_20260611\task079_LocalOverReference\submission.zip","","",""
"task379","outputs\ablation_submissions\ref6275_local_single_task_20260611\task379_LocalOverReference\submission.zip","","",""
"task005","outputs\ablation_submissions\ref6275_local_single_task_20260611\task005_LocalOverReference\submission.zip","","",""
"task039","outputs\ablation_submissions\ref6275_local_single_task_20260611\task039_LocalOverReference\submission.zip","","",""
"task031","outputs\ablation_submissions\ref6275_local_single_task_20260611\task031_LocalOverReference\submission.zip","","",""
"task259","outputs\ablation_submissions\ref6275_local_single_task_20260611\task259_LocalOverReference\submission.zip","","",""
"task165","outputs\ablation_submissions\ref6275_local_single_task_20260611\task165_LocalOverReference\submission.zip","","",""
"task174","outputs\ablation_submissions\ref6275_local_single_task_20260611\task174_LocalOverReference\submission.zip","","",""
"task185","outputs\ablation_submissions\ref6275_local_single_task_20260611\task185_LocalOverReference\submission.zip","","",""
"task244","outputs\ablation_submissions\ref6275_local_single_task_20260611\task244_LocalOverReference\submission.zip","","",""
"task100","outputs\ablation_submissions\ref6275_local_single_task_20260611\task100_LocalOverReference\submission.zip","","",""
"task286","outputs\ablation_submissions\ref6275_local_single_task_20260611\task286_LocalOverReference\submission.zip","","",""
"task112","outputs\ablation_submissions\ref6275_local_single_task_20260611\task112_LocalOverReference\submission.zip","","",""
"task126","outputs\ablation_submissions\ref6275_local_single_task_20260611\task126_LocalOverReference\submission.zip","","",""
"task274","outputs\ablation_submissions\ref6275_local_single_task_20260611\task274_LocalOverReference\submission.zip","","",""
