task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task028,outputs\reference_6275_flat\task028.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task028_ZeroAddRemoved.onnx,857,857,0,2079,2079,0,0,0,no zero-add patterns found
task029,outputs\reference_6275_flat\task029.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task029_ZeroAddRemoved.onnx,978,978,0,13589,13589,0,0,0,no zero-add patterns found
task030,outputs\reference_6275_flat\task030.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task030_ZeroAddRemoved.onnx,924,924,0,7164,7164,0,0,0,no zero-add patterns found
task031,outputs\reference_6275_flat\task031.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task031_ZeroAddRemoved.onnx,470,470,0,3417,3417,0,0,0,no zero-add patterns found
task032,outputs\reference_6275_flat\task032.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task032_ZeroAddRemoved.onnx,409,409,0,2347,2347,0,0,0,no zero-add patterns found
task033,outputs\reference_6275_flat\task033.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task033_ZeroAddRemoved.onnx,369,369,0,1510,1510,0,0,0,no zero-add patterns found
task034,outputs\reference_6275_flat\task034.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task034_ZeroAddRemoved.onnx,7701,7701,0,8450,8450,0,0,0,no zero-add patterns found
task035,outputs\reference_6275_flat\task035.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task035_ZeroAddRemoved.onnx,455,455,0,3707,3707,0,0,0,no zero-add patterns found
task036,outputs\reference_6275_flat\task036.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task036_ZeroAddRemoved.onnx,867,867,0,3950,3950,0,0,0,no zero-add patterns found
task037,outputs\reference_6275_flat\task037.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task037_ZeroAddRemoved.onnx,25086,25086,0,20424,20424,0,0,0,no zero-add patterns found
task038,outputs\reference_6275_flat\task038.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task038_ZeroAddRemoved.onnx,298,298,0,2559,2559,0,0,0,no zero-add patterns found
task039,outputs\reference_6275_flat\task039.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task039_ZeroAddRemoved.onnx,248,248,0,1913,1913,0,0,0,no zero-add patterns found
task040,outputs\reference_6275_flat\task040.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task040_ZeroAddRemoved.onnx,370,370,0,4167,4167,0,0,0,no zero-add patterns found
task041,outputs\reference_6275_flat\task041.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task041_ZeroAddRemoved.onnx,187,187,0,2110,2110,0,0,0,no zero-add patterns found
task042,outputs\reference_6275_flat\task042.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task042_ZeroAddRemoved.onnx,2445,2445,0,8525,8525,0,0,0,no zero-add patterns found
task043,outputs\reference_6275_flat\task043.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task043_ZeroAddRemoved.onnx,772,772,0,2224,2224,0,0,0,no zero-add patterns found
task044,outputs\reference_6275_flat\task044.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task044_ZeroAddRemoved.onnx,567,567,0,22589,22589,0,0,0,no zero-add patterns found
task045,outputs\reference_6275_flat\task045.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task045_ZeroAddRemoved.onnx,225,225,0,1425,1425,0,0,0,no zero-add patterns found
task046,outputs\reference_6275_flat\task046.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task046_ZeroAddRemoved.onnx,2772,2772,0,5299,5299,0,0,0,no zero-add patterns found
task047,outputs\reference_6275_flat\task047.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task047_ZeroAddRemoved.onnx,324,324,0,3091,3091,0,0,0,no zero-add patterns found
task048,outputs\reference_6275_flat\task048.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task048_ZeroAddRemoved.onnx,396,396,0,4058,4058,0,0,0,no zero-add patterns found
task049,outputs\reference_6275_flat\task049.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task049_ZeroAddRemoved.onnx,942,942,0,3516,3516,0,0,0,no zero-add patterns found
task050,outputs\reference_6275_flat\task050.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task050_ZeroAddRemoved.onnx,675,675,0,2006,2006,0,0,0,no zero-add patterns found
task051,outputs\reference_6275_flat\task051.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task051_ZeroAddRemoved.onnx,612,612,0,3352,3352,0,0,0,no zero-add patterns found
task052,outputs\reference_6275_flat\task052.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task052_ZeroAddRemoved.onnx,231,231,0,986,986,0,0,0,no zero-add patterns found
task053,outputs\reference_6275_flat\task053.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task053_ZeroAddRemoved.onnx,270,270,0,175,175,0,0,0,no zero-add patterns found
task054,outputs\reference_6275_flat\task054.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task054_ZeroAddRemoved.onnx,1061,1061,0,5551,5551,0,0,0,no zero-add patterns found
task055,outputs\reference_6275_flat\task055.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task055_ZeroAddRemoved.onnx,3162,3162,0,13886,13886,0,0,0,no zero-add patterns found
task056,outputs\reference_6275_flat\task056.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task056_ZeroAddRemoved.onnx,231,231,0,815,815,0,0,0,no zero-add patterns found
task057,outputs\reference_6275_flat\task057.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task057_ZeroAddRemoved.onnx,173,173,0,1616,1616,0,0,0,no zero-add patterns found
task058,outputs\reference_6275_flat\task058.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task058_ZeroAddRemoved.onnx,19415,19415,0,14194,14194,0,0,0,no zero-add patterns found
task059,outputs\reference_6275_flat\task059.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task059_ZeroAddRemoved.onnx,7821,7821,0,6897,6897,0,0,0,no zero-add patterns found
task060,outputs\reference_6275_flat\task060.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task060_ZeroAddRemoved.onnx,771,771,0,2458,2458,0,0,0,no zero-add patterns found
task061,outputs\reference_6275_flat\task061.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task061_ZeroAddRemoved.onnx,17726,17726,0,17030,17030,0,0,0,no zero-add patterns found
task062,outputs\reference_6275_flat\task062.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task062_ZeroAddRemoved.onnx,2994,2994,0,23218,23218,0,0,0,no zero-add patterns found
task063,outputs\reference_6275_flat\task063.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task063_ZeroAddRemoved.onnx,276,276,0,3709,3709,0,0,0,no zero-add patterns found
task064,outputs\reference_6275_flat\task064.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task064_ZeroAddRemoved.onnx,784,784,0,7151,7151,0,0,0,no zero-add patterns found
task065,outputs\reference_6275_flat\task065.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task065_ZeroAddRemoved.onnx,369,369,0,1853,1853,0,0,0,no zero-add patterns found
task066,outputs\reference_6275_flat\task066.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task066_ZeroAddRemoved.onnx,1236,1236,0,27538,27538,0,0,0,no zero-add patterns found
task067,outputs\reference_6275_flat\task067.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task067_ZeroAddRemoved.onnx,165,165,0,892,892,0,0,0,no zero-add patterns found
task068,outputs\reference_6275_flat\task068.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task068_ZeroAddRemoved.onnx,177,177,0,1602,1602,0,0,0,no zero-add patterns found
task069,outputs\reference_6275_flat\task069.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task069_ZeroAddRemoved.onnx,4602,4602,0,30432,30432,0,0,0,no zero-add patterns found
task070,outputs\reference_6275_flat\task070.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task070_ZeroAddRemoved.onnx,258,258,0,11844,11844,0,0,0,no zero-add patterns found
task071,outputs\reference_6275_flat\task071.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task071_ZeroAddRemoved.onnx,393,393,0,5298,5298,0,0,0,no zero-add patterns found
task072,outputs\reference_6275_flat\task072.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task072_ZeroAddRemoved.onnx,255,255,0,1289,1289,0,0,0,no zero-add patterns found
task073,outputs\reference_6275_flat\task073.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task073_ZeroAddRemoved.onnx,4550,4550,0,3825,3825,0,0,0,no zero-add patterns found
task074,outputs\reference_6275_flat\task074.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task074_ZeroAddRemoved.onnx,321,321,0,1824,1824,0,0,0,no zero-add patterns found
task075,outputs\reference_6275_flat\task075.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task075_ZeroAddRemoved.onnx,507,507,0,6812,6812,0,0,0,no zero-add patterns found
task076,outputs\reference_6275_flat\task076.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task076_ZeroAddRemoved.onnx,1461,1461,0,24619,24619,0,0,0,no zero-add patterns found
task077,outputs\reference_6275_flat\task077.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task077_ZeroAddRemoved.onnx,921,921,0,3638,3638,0,0,0,no zero-add patterns found
task078,outputs\reference_6275_flat\task078.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task078_ZeroAddRemoved.onnx,252,252,0,1974,1974,0,0,0,no zero-add patterns found
task079,outputs\reference_6275_flat\task079.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task079_ZeroAddRemoved.onnx,1301,1301,0,2695,2695,0,0,0,no zero-add patterns found
task080,outputs\reference_6275_flat\task080.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task080_ZeroAddRemoved.onnx,1198,1198,0,10180,10180,0,0,0,no zero-add patterns found
task081,outputs\reference_6275_flat\task081.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task081_ZeroAddRemoved.onnx,627,627,0,3749,3749,0,0,0,no zero-add patterns found
task082,outputs\reference_6275_flat\task082.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task082_ZeroAddRemoved.onnx,392,392,0,1638,1638,0,0,0,no zero-add patterns found
task083,outputs\reference_6275_flat\task083.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task083_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task084,outputs\reference_6275_flat\task084.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task084_ZeroAddRemoved.onnx,499,499,0,2820,2820,0,0,0,no zero-add patterns found
task085,outputs\reference_6275_flat\task085.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task085_ZeroAddRemoved.onnx,558,558,0,2547,2547,0,0,0,no zero-add patterns found
task086,outputs\reference_6275_flat\task086.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task086_ZeroAddRemoved.onnx,717,717,0,3099,3099,0,0,0,no zero-add patterns found
task087,outputs\reference_6275_flat\task087.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task087_ZeroAddRemoved.onnx,72,72,0,394,394,0,0,0,no zero-add patterns found
task088,outputs\reference_6275_flat\task088.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task088_ZeroAddRemoved.onnx,1008,1008,0,4099,4099,0,0,0,no zero-add patterns found
task089,outputs\reference_6275_flat\task089.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task089_ZeroAddRemoved.onnx,876,876,0,11171,11171,0,0,0,no zero-add patterns found
task090,outputs\reference_6275_flat\task090.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task090_ZeroAddRemoved.onnx,438,438,0,19660,19660,0,0,0,no zero-add patterns found
task091,outputs\reference_6275_flat\task091.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task091_ZeroAddRemoved.onnx,702,702,0,4393,4393,0,0,0,no zero-add patterns found
task092,outputs\reference_6275_flat\task092.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task092_ZeroAddRemoved.onnx,163,163,0,3438,3438,0,0,0,no zero-add patterns found
task093,outputs\reference_6275_flat\task093.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task093_ZeroAddRemoved.onnx,354,354,0,6234,6234,0,0,0,no zero-add patterns found
task094,outputs\reference_6275_flat\task094.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task094_ZeroAddRemoved.onnx,552,552,0,2932,2932,0,0,0,no zero-add patterns found
task095,outputs\reference_6275_flat\task095.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task095_ZeroAddRemoved.onnx,4550,4550,0,3950,3950,0,0,0,no zero-add patterns found
task096,outputs\reference_6275_flat\task096.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task096_ZeroAddRemoved.onnx,3998,3998,0,42567,42567,0,0,0,no zero-add patterns found
task097,outputs\reference_6275_flat\task097.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task097_ZeroAddRemoved.onnx,27,27,0,904,904,0,0,0,no zero-add patterns found
task098,outputs\reference_6275_flat\task098.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task098_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task099,outputs\reference_6275_flat\task099.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task099_ZeroAddRemoved.onnx,24550,24550,0,19839,19839,0,0,0,no zero-add patterns found
task100,outputs\reference_6275_flat\task100.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task100_ZeroAddRemoved.onnx,335,335,0,4954,4954,0,0,0,no zero-add patterns found
task101,outputs\reference_6275_flat\task101.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task101_ZeroAddRemoved.onnx,594,594,0,19538,19538,0,0,0,no zero-add patterns found
task102,outputs\reference_6275_flat\task102.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task102_ZeroAddRemoved.onnx,1809,1809,0,6482,6482,0,0,0,no zero-add patterns found
task103,outputs\reference_6275_flat\task103.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task103_ZeroAddRemoved.onnx,180,180,0,979,979,0,0,0,no zero-add patterns found
task104,outputs\reference_6275_flat\task104.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task104_ZeroAddRemoved.onnx,3066,3066,0,3505,3505,0,0,0,no zero-add patterns found
task105,outputs\reference_6275_flat\task105.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task105_ZeroAddRemoved.onnx,606,606,0,8053,8053,0,0,0,no zero-add patterns found
task106,outputs\reference_6275_flat\task106.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task106_ZeroAddRemoved.onnx,746,746,0,2939,2939,0,0,0,no zero-add patterns found
task107,outputs\reference_6275_flat\task107.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task107_ZeroAddRemoved.onnx,42039,42039,0,31191,31191,0,0,0,no zero-add patterns found
task108,outputs\reference_6275_flat\task108.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task108_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task109,outputs\reference_6275_flat\task109.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task109_ZeroAddRemoved.onnx,2280,2280,0,5257,5257,0,0,0,no zero-add patterns found
task110,outputs\reference_6275_flat\task110.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task110_ZeroAddRemoved.onnx,2945,2945,0,20525,20525,0,0,0,no zero-add patterns found
task111,outputs\reference_6275_flat\task111.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task111_ZeroAddRemoved.onnx,225,225,0,1499,1499,0,0,0,no zero-add patterns found
task112,outputs\reference_6275_flat\task112.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task112_ZeroAddRemoved.onnx,564,564,0,3987,3987,0,0,0,no zero-add patterns found
task113,outputs\reference_6275_flat\task113.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task113_ZeroAddRemoved.onnx,270,270,0,499,499,0,0,0,no zero-add patterns found
task114,outputs\reference_6275_flat\task114.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task114_ZeroAddRemoved.onnx,924,924,0,4671,4671,0,0,0,no zero-add patterns found
task115,outputs\reference_6275_flat\task115.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task115_ZeroAddRemoved.onnx,423,423,0,3952,3952,0,0,0,no zero-add patterns found
task116,outputs\reference_6275_flat\task116.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task116_ZeroAddRemoved.onnx,270,270,0,479,479,0,0,0,no zero-add patterns found
task117,outputs\reference_6275_flat\task117.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task117_ZeroAddRemoved.onnx,1187,1187,0,7592,7592,0,0,0,no zero-add patterns found
task118,outputs\reference_6275_flat\task118.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task118_ZeroAddRemoved.onnx,522,522,0,4432,4432,0,0,0,no zero-add patterns found
task119,outputs\reference_6275_flat\task119.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task119_ZeroAddRemoved.onnx,612,612,0,13672,13672,0,0,0,no zero-add patterns found
task120,outputs\reference_6275_flat\task120.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task120_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task121,outputs\reference_6275_flat\task121.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task121_ZeroAddRemoved.onnx,366,366,0,3339,3339,0,0,0,no zero-add patterns found
task122,outputs\reference_6275_flat\task122.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task122_ZeroAddRemoved.onnx,12550,12550,0,10236,10236,0,0,0,no zero-add patterns found
task123,outputs\reference_6275_flat\task123.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task123_ZeroAddRemoved.onnx,8472,8472,0,9379,9379,0,0,0,no zero-add patterns found
task124,outputs\reference_6275_flat\task124.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task124_ZeroAddRemoved.onnx,3087,3087,0,2840,2840,0,0,0,no zero-add patterns found
task125,outputs\reference_6275_flat\task125.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task125_ZeroAddRemoved.onnx,639,639,0,3012,3012,0,0,0,no zero-add patterns found
task126,outputs\reference_6275_flat\task126.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task126_ZeroAddRemoved.onnx,347,347,0,3088,3088,0,0,0,no zero-add patterns found
task127,outputs\reference_6275_flat\task127.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task127_ZeroAddRemoved.onnx,4500,4500,0,3772,3772,0,0,0,no zero-add patterns found
task128,outputs\reference_6275_flat\task128.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task128_ZeroAddRemoved.onnx,744,744,0,2394,2394,0,0,0,no zero-add patterns found
task129,outputs\reference_6275_flat\task129.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task129_ZeroAddRemoved.onnx,255,255,0,785,785,0,0,0,no zero-add patterns found
task130,outputs\reference_6275_flat\task130.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task130_ZeroAddRemoved.onnx,358,358,0,1164,1164,0,0,0,no zero-add patterns found
task131,outputs\reference_6275_flat\task131.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task131_ZeroAddRemoved.onnx,3135,3135,0,7860,7860,0,0,0,no zero-add patterns found
task132,outputs\reference_6275_flat\task132.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task132_ZeroAddRemoved.onnx,366,366,0,2585,2585,0,0,0,no zero-add patterns found
task133,outputs\reference_6275_flat\task133.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task133_ZeroAddRemoved.onnx,1869,1869,0,14130,14130,0,0,0,no zero-add patterns found
task134,outputs\reference_6275_flat\task134.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task134_ZeroAddRemoved.onnx,486,486,0,4599,4599,0,0,0,no zero-add patterns found
task135,outputs\reference_6275_flat\task135.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task135_ZeroAddRemoved.onnx,0,0,0,251,251,0,0,0,no zero-add patterns found
task136,outputs\reference_6275_flat\task136.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task136_ZeroAddRemoved.onnx,576,576,0,2827,2827,0,0,0,no zero-add patterns found
task137,outputs\reference_6275_flat\task137.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task137_ZeroAddRemoved.onnx,248,248,0,2835,2835,0,0,0,no zero-add patterns found
task138,outputs\reference_6275_flat\task138.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task138_ZeroAddRemoved.onnx,461,461,0,8806,8806,0,0,0,no zero-add patterns found
task139,outputs\reference_6275_flat\task139.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task139_ZeroAddRemoved.onnx,988,988,0,3865,3865,0,0,0,no zero-add patterns found
task140,outputs\reference_6275_flat\task140.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task140_ZeroAddRemoved.onnx,72,72,0,394,394,0,0,0,no zero-add patterns found
task141,outputs\reference_6275_flat\task141.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task141_ZeroAddRemoved.onnx,409,409,0,2345,2345,0,0,0,no zero-add patterns found
task142,outputs\reference_6275_flat\task142.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task142_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task143,outputs\reference_6275_flat\task143.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task143_ZeroAddRemoved.onnx,441,441,0,2144,2144,0,0,0,no zero-add patterns found
task144,outputs\reference_6275_flat\task144.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task144_ZeroAddRemoved.onnx,306,306,0,1321,1321,0,0,0,no zero-add patterns found
task145,outputs\reference_6275_flat\task145.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task145_ZeroAddRemoved.onnx,2979,2979,0,19982,19982,0,0,0,no zero-add patterns found
task146,outputs\reference_6275_flat\task146.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task146_ZeroAddRemoved.onnx,203,203,0,1894,1894,0,0,0,no zero-add patterns found
task147,outputs\reference_6275_flat\task147.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task147_ZeroAddRemoved.onnx,4550,4550,0,3825,3825,0,0,0,no zero-add patterns found
task148,outputs\reference_6275_flat\task148.onnx,outputs\candidates\ref6275_zero_add_removed_safe\task148_ZeroAddRemoved.onnx,1221,1221,0,6750,6750,0,0,0,no zero-add patterns found
