task_id,model_cost,init_name,shape,dtype,num_elements,nbytes,init_class,is_permutation,is_row_bank,is_interval_table,is_mask_bank,is_template_bank,is_transform_bank,is_one_hot,one_hot_ratio,num_unique,value_range,sparsity,consumer_ops,downstream_chain,can_be_gather,can_be_formula,can_be_small_conv,decompilation_notes
task083,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,5,"[-1.0,-0.7241379022598267]",0.0,GridSample,GridSample,False,False,False,
task108,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,7,"[-1.0,-0.3103448152542114]",0.0,GridSample,GridSample,False,False,False,
task123,8472,level_map,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,11,"[0,10]",0.0011,Gather,Gather,False,True,False,
task142,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,4,"[-1.0,-0.7931034564971924]",0.0,GridSample,GridSample,False,False,False,
task152,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,4,"[-1.0,-0.7931034564971924]",0.0,GridSample,GridSample,False,False,False,
task175,13677,cast_15,1x1x30x30,int64,900,7200,small_int_table,False,False,False,True,False,False,False,0.0,11,"[-1,9]",0.6289,Add,Add→Mod→Add→Squeeze,False,False,False,
task194,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,4,"[-1.0,-0.7931034564971924]",0.0,GridSample,GridSample,False,False,False,
task211,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,3,"[-1.0,-0.8620689511299133]",0.0,GridSample,GridSample,False,False,False,
task214,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,5,"[-1.0,-0.24137930572032928]",0.0,GridSample,GridSample,False,False,False,
task223,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,4,"[-1.0,-0.7931034564971924]",0.0,GridSample,GridSample,False,False,False,
task248,9100,patterns,9x2x10x10,float32,1800,7200,sparse_one_hot,False,False,False,False,False,False,False,0.5556,2,"[0.0,1.0]",0.7,Gather,Gather→Pad,True,False,False,
task307,9000,grid,1x30x30x2,float32,1800,7200,unknown,False,False,False,False,False,False,False,0.0,6,"[-1.0,-0.6551724076271057]",0.0,GridSample,GridSample,False,False,False,
task366,13979,desc_idx_59,1x1x59x59,float16,3481,6962,unknown,False,False,False,False,False,False,False,0.0,2049,"[0.0,3480.0]",0.0006,Where,Where→Where→Where→Reshape→Reshape→Reshape→ArgMax→ReduceMax→ArgMax→ReduceMax,False,False,False,
task037,25086,identity_conv_sum_group_others_main_w,9x1x19x19,float16,3249,6498,sparse_one_hot,False,False,False,False,False,False,False,0.9474,2,"[0.0,1.0]",0.9501,Conv,Conv→Relu→Mul→Sum,True,False,False,
task037,25086,identity_conv_sum_group_others_anti_w,9x1x19x19,float16,3249,6498,sparse_one_hot,False,False,False,False,False,False,False,0.9474,2,"[0.0,1.0]",0.9501,Conv,Conv→Relu→Mul→Sum,True,False,False,
task398,6714,RPC,1x1x25x25,int64,625,5000,template_bank,False,False,False,False,True,False,False,0.0,49,"[0,48]",0.0016,Equal,Equal→Equal→Equal→Equal→Equal→And→And→And→And→And,False,False,False,
task159,12549,v18,1x10x14x14,float16,1960,3920,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9735,Add,Add→Where→Sum→Pad,False,False,False,
task396,25442,hist_i,901,float32,901,3604,unknown,False,False,False,False,False,False,False,0.0,901,"[0.0,900.0]",0.0011,Greater,Greater→And→Where→ArgMax,False,False,False,
task396,25442,hist_min_init,901,float32,901,3604,unknown,False,False,False,False,False,False,False,0.0,1,"[99.0,99.0]",0.0,ScatterND,ScatterND→ScatterND→Sub→Gather→Sub→Gather→Add→Add→Cast→Cast,False,False,False,
task396,25442,hist_max_init,901,float32,901,3604,unknown,False,False,False,False,False,False,False,0.0,1,"[-1.0,-1.0]",0.0,ScatterND,ScatterND→ScatterND→Sub→Sub→Greater→And→Add→Add→Where→Mul,False,False,False,
task279,5271,zero_ch,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task330,5579,ZERO30,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task338,6426,zero_ch,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task396,25442,R,1x1x30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,29.0]",0.0333,ScatterND;Cast,ScatterND→ScatterND→Cast→Sub→Gather→Sub→Greater→Less→Add→Add,False,False,False,
task396,25442,C,1x1x30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,29.0]",0.0333,ScatterND;Cast,ScatterND→ScatterND→Cast→Sub→Sub→Gather→Less→Add→Add→And,False,False,False,
task324,5310,x_kernel,1x1x39x39,float16,1521,3042,dense_binary_bank,False,False,False,True,False,False,False,0.0256,2,"[0.0,1.0]",0.9494,ConvTranspose,ConvTranspose→Greater→Where→Pad,False,False,False,
task349,9921,beam_kernel,5x1x30x10,float16,1500,3000,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.4733,ConvTranspose,ConvTranspose→Cast→And→Not→And→And,False,False,False,
task011,7065,sep_mask,1x10x11x11,float16,1210,2420,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9669,Sum,Sum→Pad,False,False,False,
task059,7821,lines_const,1x10x11x11,float16,1210,2420,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9669,Sum,Sum→Pad,False,False,False,
task059,7821,ch0_base_const,1x10x11x11,float16,1210,2420,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9331,Sub,Sub→Sum→Pad,False,False,False,
task159,12549,v14,1x10x11x11,float16,1210,2420,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9669,Add,Add→Where→Pad→Sum,False,False,False,
task163,6681,ch5_contrib,1x10x11x11,float16,1210,2420,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9669,Sum,Sum→Pad,False,False,False,
task349,9921,halo_kernel,5x1x11x20,float16,1100,2200,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.5455,ConvTranspose,ConvTranspose→Cast→And→Not→And→And→Concat,False,False,False,
task034,7701,v29,1x1x30x30,float16,900,1800,unknown,False,False,False,False,False,False,False,0.0,59,"[-29.0,29.0]",0.0333,Sub,Sub→Abs→Less→And→And,False,False,False,
task034,7701,v30,1x1x30x30,float16,900,1800,unknown,False,False,False,False,False,False,False,0.0,59,"[0.0,58.0]",0.0011,Sub,Sub→Abs→Less→And→And,False,False,False,
task037,25086,identity_conv_sum_group_prefix_main_w,9x1x10x10,float16,900,1800,one_hot_selector,False,False,False,False,False,False,True,1.0,2,"[0.0,1.0]",0.9,Conv,Conv→Conv→Relu→Relu→Mul→Mul→Mul,True,False,False,
task037,25086,identity_conv_sum_group_prefix_anti_w,9x1x10x10,float16,900,1800,one_hot_selector,False,False,False,False,False,False,True,1.0,2,"[0.0,1.0]",0.9,Conv,Conv→Conv→Relu→Relu→Mul→Mul→Mul,True,False,False,
task107,42039,v12,1x1x30x30,float16,900,1800,sparse_binary_mask,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9956,Where,Where→Where→Where→Where,True,False,False,
task107,42039,v13,1x1x30x30,float16,900,1800,sparse_binary_mask,False,False,False,True,False,False,False,0.1333,2,"[0.0,1.0]",0.9956,Where,Where→Where→Where→Where,True,False,False,
task107,42039,v14,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9911,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v18,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9933,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v19,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.2,2,"[0.0,1.0]",0.9933,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v20,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9867,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v24,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9911,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v25,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.2667,2,"[0.0,1.0]",0.9911,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v26,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9822,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v30,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9889,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v31,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.3333,2,"[0.0,1.0]",0.9889,Where,Where→Where→Where→Less,False,False,False,
task107,42039,v32,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9778,Where,Where→Where→Where→Where,False,False,False,
task107,42039,v36,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9867,Where,Where→Where→Where→Less,False,False,False,
task107,42039,v37,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.4,2,"[0.0,1.0]",0.9867,Where,Where→Where→Less→Where,False,False,False,
task107,42039,v38,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9733,Where,Where→Where→Where→Less,False,False,False,
task175,13677,diag_mask,1x1x30x30,float16,900,1800,sparse_one_hot,False,False,False,False,False,False,False,0.7,2,"[0.0,1.0]",0.9767,Mul,Mul→ReduceSum→Greater→Gather→Where→Cast,True,False,False,
task175,13677,in_grid,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.51,Mul,Mul,False,False,False,
task184,48350,prefix_tri,30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0333,2,"[0.0,1.0]",0.4833,MatMul,MatMul→MatMul→Sub→Sub→Reshape→Reshape→Equal→Equal→Equal→Equal,False,False,False,
task221,15246,G2,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.51,Where,Where→Sum→Sub→Concat,False,False,False,
task221,15246,G3,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.64,Where,Where→Sum→Sub→Concat,False,False,False,
task221,15246,G4,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.75,Where,Where→Sum→Sub→Concat,False,False,False,
task221,15246,G5,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.84,Where,Where→Sum→Sub→Concat,False,False,False,
task221,15246,G6,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.91,Where,Where→Sum→Sub→Concat,False,False,False,
task233,6131,cell_id,1x1x30x30,float16,900,1800,unknown,False,False,False,False,False,False,False,0.0,900,"[1.0,900.0]",0.0,Neg,Neg→Where→Where→MaxPool→MaxPool→Where→Where,False,False,False,
task275,8733,v2,1x1x30x30,float16,900,1800,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat,True,False,False,
task275,8733,v3,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.91,Mul,Mul→Sum→Sub→Concat,False,False,False,
task275,8733,v4,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.7156,Mul,Mul→Sum→Sub→Concat,False,False,False,
task285,5662,LABEL_P1,1x1x30x30,float16,900,1800,unknown,False,False,False,False,False,False,False,0.0,900,"[1.0,900.0]",0.0,Where,Where→MaxPool→Greater→Sub→Where→Clip→MaxPool→And,False,False,False,
task345,5898,zero_ch,1x1x30x30,float16,900,1800,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task345,5898,top10_mask,1x1x30x30,float16,900,1800,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.8889,Sub,Sub→Sub→Concat,False,False,False,
task366,13979,label_init,1x1x30x30,float16,900,1800,unknown,False,False,False,False,False,False,False,0.0,900,"[0.0,899.0]",0.0011,Mul,Mul→Where→Where→MaxPool→MaxPool→Where→Where,False,False,False,
task392,7389,v7,1x1x30x30,float16,900,1800,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat,True,False,False,
task396,25442,coord_label,1x1x30x30,float16,900,1800,unknown,False,False,False,False,False,False,False,0.0,900,"[1.0,900.0]",0.0,Mul,Mul→MaxPool→Mul→MaxPool,False,False,False,
task364,5120,hist_init,440,float32,440,1760,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,ScatterND,ScatterND→ScatterND→Gather→Gather→Greater→Greater→And→Not→And→Not,True,False,False,
task240,78767,src_masks,1x9x9x9,float16,729,1458,dense_binary_bank,False,False,False,True,False,False,False,0.037,2,"[0.0,1.0]",0.9383,Mul,Mul→ReduceMax→Mul→ReduceMax,False,False,False,
task240,78767,tgt_masks,1x9x9x9,float16,729,1458,dense_binary_bank,False,False,False,True,False,False,False,0.037,2,"[0.0,1.0]",0.8889,Mul,Mul→ReduceMax→Equal→Cast,False,False,False,
task264,6570,valid_kernel,8x10x3x3,float16,720,1440,dense_binary_bank,False,False,False,True,False,False,False,0.3583,2,"[0.0,1.0]",0.6278,Conv,Conv→Equal→Where→ReduceMax,False,False,False,
task264,6570,color_kernel,8x10x3x3,float16,720,1440,unknown,False,False,False,False,False,False,False,0.0417,9,"[0.0,9.0]",0.6889,Conv,Conv→Where→ReduceMax→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,False,False,
task264,6570,out_masks,1x8x9x9,float16,648,1296,dense_binary_bank,False,False,False,True,False,False,False,0.1389,2,"[0.0,1.0]",0.9568,Mul,Mul→Mul→Mul→Mul→Mul→Mul→Mul→Mul→Mul→ReduceSum,False,False,False,
task159,12549,v10,1x10x8x8,float16,640,1280,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9563,Add,Add→Where→Pad→Sum,False,False,False,
task392,7389,packed_v47_table,76x2,int64,152,1216,coordinate_bank,False,False,False,False,False,True,False,0.0,69,"[536084736,1152360205658957385]",0.0,Gather,Gather→Unsqueeze→Div→Mod,False,False,False,
task392,7389,v9,1x1x20x30,float16,600,1200,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Mul→Mul→Mul→Mul→Mul→Mul→Mul→Mul,True,False,False,
