split,case_index,first_a,first_b,second_a,second_b,argmax0,argmax1
arc-gen,75,25,239,0,0,11864,0
arc-gen,76,366,29,0,0,170219,0
arc-gen,77,242,29,0,0,112559,0
arc-gen,78,29,196,0,0,13681,0
arc-gen,79,319,29,328,151,148364,152671
arc-gen,80,303,29,0,0,140924,0
arc-gen,81,29,148,0,0,13633,0
arc-gen,82,25,171,0,0,11796,0
arc-gen,83,194,139,12,355,90349,5935
arc-gen,84,353,139,0,0,164284,0
arc-gen,85,338,29,0,0,157199,0
arc-gen,86,339,29,0,0,157664,0
arc-gen,87,352,139,0,0,163819,0
arc-gen,88,301,29,0,0,139994,0
arc-gen,89,139,240,338,15,64875,157185
arc-gen,90,149,29,0,0,69314,0
arc-gen,91,29,240,0,0,13725,0
arc-gen,92,283,139,0,0,131734,0
arc-gen,93,320,29,0,0,148829,0
arc-gen,94,29,244,0,0,13729,0
arc-gen,95,29,217,0,0,13702,0
arc-gen,96,29,198,0,0,13683,0
arc-gen,97,334,29,0,0,155339,0
arc-gen,98,29,263,0,0,13748,0
arc-gen,99,29,195,0,0,13680,0
arc-gen,100,262,29,0,0,121859,0
arc-gen,101,196,29,0,0,91169,0
arc-gen,102,146,139,0,0,68029,0
arc-gen,103,173,29,0,0,80474,0
arc-gen,104,29,263,0,0,13748,0
arc-gen,105,29,194,0,0,13679,0
arc-gen,106,29,199,0,0,13684,0
arc-gen,107,29,194,0,0,13679,0
arc-gen,108,392,29,0,0,182309,0
arc-gen,109,29,266,0,0,13751,0
arc-gen,110,25,176,0,0,11801,0
arc-gen,111,29,218,0,0,13703,0
arc-gen,112,334,29,0,0,155339,0
arc-gen,113,147,29,0,0,68384,0
arc-gen,114,404,29,409,202,187889,190387
arc-gen,115,29,195,0,0,13680,0
arc-gen,116,15,371,240,139,7346,111739
arc-gen,117,240,139,0,0,111739,0
arc-gen,118,29,171,0,0,13656,0
arc-gen,119,29,241,0,0,13726,0
arc-gen,120,29,174,0,0,13659,0
arc-gen,121,220,139,0,0,102439,0
arc-gen,122,198,29,0,0,92099,0
arc-gen,123,29,145,0,0,13630,0
arc-gen,124,29,261,354,16,13746,164626
arc-gen,125,222,29,18,288,103259,8658
arc-gen,126,265,29,0,0,123254,0
arc-gen,127,25,148,0,0,11773,0
arc-gen,128,302,29,0,0,140459,0
arc-gen,129,196,29,0,0,91169,0
arc-gen,130,201,14,29,239,93479,13724
arc-gen,131,194,29,12,222,90239,5802
arc-gen,132,146,139,0,0,68029,0
arc-gen,133,25,219,223,15,11844,103710
arc-gen,134,29,174,0,0,13659,0
arc-gen,135,242,29,0,0,112559,0
arc-gen,136,139,241,338,16,64876,157186
arc-gen,137,367,29,0,0,170684,0
arc-gen,138,320,29,0,0,148829,0
arc-gen,139,219,29,0,0,101864,0
arc-gen,140,29,219,0,0,13704,0
arc-gen,141,365,139,0,0,169864,0
arc-gen,142,170,29,0,0,79079,0
arc-gen,143,322,29,0,0,149759,0
arc-gen,144,365,29,0,0,169754,0
arc-gen,145,139,243,0,0,64878,0
arc-gen,146,29,171,0,0,13656,0
arc-gen,147,25,241,0,0,11866,0
arc-gen,148,219,139,15,370,101974,7345
arc-gen,149,351,29,0,0,163244,0
arc-gen,150,29,245,0,0,13730,0
arc-gen,151,285,29,293,288,132554,136533
arc-gen,152,302,29,0,0,140459,0
arc-gen,153,365,29,0,0,169754,0
arc-gen,154,175,29,0,0,81404,0
arc-gen,155,260,139,0,0,121039,0
arc-gen,156,29,147,0,0,13632,0
arc-gen,157,29,148,0,0,13633,0
arc-gen,158,195,29,0,0,90704,0
arc-gen,159,29,243,0,0,13728,0
arc-gen,160,221,29,0,0,102794,0
arc-gen,161,222,29,0,0,103259,0
arc-gen,162,336,29,0,0,156269,0
arc-gen,163,195,29,0,0,90704,0
arc-gen,164,29,176,0,0,13661,0
arc-gen,165,139,172,0,0,64807,0
arc-gen,166,321,29,0,0,149294,0
arc-gen,167,150,29,0,0,69779,0
arc-gen,168,25,175,177,16,11800,82321
arc-gen,169,337,139,0,0,156844,0
arc-gen,170,171,29,0,0,79544,0
arc-gen,171,335,139,344,369,155914,160329
arc-gen,172,29,261,0,0,13746,0
arc-gen,173,25,148,0,0,11773,0
arc-gen,174,29,261,0,0,13746,0
arc-gen,175,352,29,0,0,163709,0
arc-gen,176,29,265,0,0,13750,0
arc-gen,177,365,29,373,245,169754,173690
arc-gen,178,29,263,0,0,13748,0
arc-gen,179,284,29,0,0,132089,0
arc-gen,180,200,29,0,0,93029,0
arc-gen,181,139,198,0,0,64833,0
arc-gen,182,196,29,0,0,91169,0
arc-gen,183,25,194,0,0,11819,0
arc-gen,184,29,262,0,0,13747,0
arc-gen,185,29,175,0,0,13660,0
arc-gen,186,265,29,20,245,123254,9545
arc-gen,187,29,195,0,0,13680,0
arc-gen,188,147,29,0,0,68384,0
arc-gen,189,29,262,0,0,13747,0
arc-gen,190,29,239,0,0,13724,0
arc-gen,191,29,170,0,0,13655,0
arc-gen,192,29,172,0,0,13657,0
arc-gen,193,29,173,0,0,13658,0
arc-gen,194,241,29,0,0,112094,0
arc-gen,195,29,174,0,0,13659,0
arc-gen,196,263,29,0,0,122324,0
arc-gen,197,29,240,339,15,13725,157650
arc-gen,198,29,220,0,0,13705,0
arc-gen,199,139,148,0,0,64783,0
arc-gen,200,381,29,0,0,177194,0
arc-gen,201,217,29,0,0,100934,0
arc-gen,202,29,266,0,0,13751,0
arc-gen,203,25,240,0,0,11865,0
arc-gen,204,199,29,0,0,92564,0
arc-gen,205,25,199,0,0,11824,0
arc-gen,206,264,29,0,0,122789,0
arc-gen,207,351,29,0,0,163244,0
arc-gen,208,139,263,0,0,64898,0
arc-gen,209,29,148,0,0,13633,0
arc-gen,210,404,29,0,0,187889,0
arc-gen,211,29,239,0,0,13724,0
arc-gen,212,29,174,0,0,13659,0
arc-gen,213,223,29,0,0,103724,0
arc-gen,214,173,29,0,0,80474,0
arc-gen,215,305,139,0,0,141964,0
arc-gen,216,354,29,0,0,164639,0
arc-gen,217,139,146,0,0,64781,0
arc-gen,218,344,323,334,139,160283,155449
arc-gen,219,303,29,0,0,140924,0
arc-gen,220,29,145,0,0,13630,0
arc-gen,221,29,195,0,0,13680,0
arc-gen,222,29,264,0,0,13749,0
arc-gen,223,29,198,0,0,13683,0
arc-gen,224,29,241,0,0,13726,0
arc-gen,225,240,29,0,0,111629,0
arc-gen,226,173,29,0,0,80474,0
arc-gen,227,198,29,0,0,92099,0
arc-gen,228,139,242,0,0,64877,0
arc-gen,229,29,147,0,0,13632,0
arc-gen,230,339,29,0,0,157664,0
arc-gen,231,380,29,0,0,176729,0
arc-gen,232,139,199,0,0,64834,0
arc-gen,233,245,29,0,0,113954,0
arc-gen,234,29,173,0,0,13658,0
arc-gen,235,221,29,0,0,102794,0
arc-gen,236,25,150,0,0,11775,0
arc-gen,237,195,139,13,339,90814,6384
arc-gen,238,368,29,0,0,171149,0
arc-gen,239,353,29,0,0,164174,0
arc-gen,240,264,29,0,0,122789,0
arc-gen,241,353,29,0,0,164174,0
arc-gen,242,195,29,13,266,90704,6311
arc-gen,243,334,139,0,0,155449,0
arc-gen,244,29,148,0,0,13633,0
arc-gen,245,264,29,0,0,122789,0
arc-gen,246,29,240,264,15,13725,122775
arc-gen,247,29,263,0,0,13748,0
arc-gen,248,286,29,0,0,133019,0
arc-gen,249,29,196,0,0,13681,0
arc-gen,250,318,29,0,0,147899,0
arc-gen,251,285,29,0,0,132554,0
arc-gen,252,29,221,0,0,13706,0
arc-gen,253,29,172,0,0,13657,0
arc-gen,254,29,199,0,0,13684,0
arc-gen,255,25,243,0,0,11868,0
arc-gen,256,29,147,0,0,13632,0
arc-gen,257,29,146,0,0,13631,0
arc-gen,258,392,139,0,0,182419,0
arc-gen,259,29,262,0,0,13747,0
arc-gen,260,175,29,0,0,81404,0
