task_id,model_path,row_count,shared_value_count,initializer_count,constant_count,total_elements,total_bytes,rank_set,dtype_set,max_tail_elements,has_arange_vector,has_arange_column,has_zero_table,has_small_integer_table,example_values,value_names,priority_score
task396,outputs\onnx\task396.onnx,132,4,4,0,528,4224,1,int64,1,False,False,False,False,initializer:row_bank_18:132:int64; initializer:col_bank_18:132:int64; initializer:row_bank_22:132:int64; initializer:col_bank_22:132:int64,initializer:row_bank_18:132:int64; initializer:col_bank_18:132:int64; initializer:row_bank_22:132:int64; initializer:col_bank_22:132:int64,1584
task396,outputs\onnx\task396.onnx,225,2,2,0,450,3600,1,int64,1,False,False,False,False,initializer:row_bank_0:225:int64; initializer:col_bank_0:225:int64,initializer:row_bank_0:225:int64; initializer:col_bank_0:225:int64,450
task396,outputs\onnx\task396.onnx,196,2,2,0,392,3136,1,int64,1,False,False,False,False,initializer:row_bank_6:196:int64; initializer:col_bank_6:196:int64,initializer:row_bank_6:196:int64; initializer:col_bank_6:196:int64,392
task396,outputs\onnx\task396.onnx,195,2,2,0,390,3120,1,int64,1,False,False,False,False,initializer:row_bank_2:195:int64; initializer:col_bank_2:195:int64,initializer:row_bank_2:195:int64; initializer:col_bank_2:195:int64,390
task290,outputs\onnx\task290.onnx,169,2,2,0,338,2704,1,int64,1,False,False,False,False,initializer:row_bank_0:169:int64; initializer:col_bank_0:169:int64,initializer:row_bank_0:169:int64; initializer:col_bank_0:169:int64,338
task396,outputs\onnx\task396.onnx,169,2,2,0,338,2704,1,int64,1,False,False,False,False,initializer:row_bank_11:169:int64; initializer:col_bank_11:169:int64,initializer:row_bank_11:169:int64; initializer:col_bank_11:169:int64,338
task290,outputs\onnx\task290.onnx,144,2,2,0,288,2304,1,int64,1,False,False,False,False,initializer:row_bank_1:144:int64; initializer:col_bank_1:144:int64,initializer:row_bank_1:144:int64; initializer:col_bank_1:144:int64,288
task396,outputs\onnx\task396.onnx,144,2,2,0,288,2304,1,int64,1,False,False,False,False,initializer:row_bank_17:144:int64; initializer:col_bank_17:144:int64,initializer:row_bank_17:144:int64; initializer:col_bank_17:144:int64,288
task290,outputs\onnx\task290.onnx,121,2,2,0,242,1936,1,int64,1,False,False,False,False,initializer:row_bank_2:121:int64; initializer:col_bank_2:121:int64,initializer:row_bank_2:121:int64; initializer:col_bank_2:121:int64,242
task396,outputs\onnx\task396.onnx,121,2,2,0,242,1936,1,int64,1,False,False,False,False,initializer:row_bank_23:121:int64; initializer:col_bank_23:121:int64,initializer:row_bank_23:121:int64; initializer:col_bank_23:121:int64,242
task290,outputs\onnx\task290.onnx,100,2,2,0,200,1600,1,int64,1,False,False,False,False,initializer:row_bank_3:100:int64; initializer:col_bank_3:100:int64,initializer:row_bank_3:100:int64; initializer:col_bank_3:100:int64,200
