split,case_index,step,prefix_size,target_slot,argmax_output,selected_rows,selected_components,source_components,source_component_sizes
arc-gen,6,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,6,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,7,0,0,0,argmax_1039,[654],[2],[2],[261]
arc-gen,7,1,1,1,argmax_1098,[156],[0],[0],[261]
arc-gen,7,2,2,2,argmax_1157,[326],[1],[1],[261]
arc-gen,7,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,7,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,8,0,0,0,argmax_1039,[96],[0],[0],[261]
arc-gen,8,1,1,1,argmax_1098,[400],[1],[1],[261]
arc-gen,8,2,2,2,argmax_1157,[632],[2],[2],[261]
arc-gen,8,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,8,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,9,0,0,0,argmax_1039,[361],[1],[1],[261]
arc-gen,9,1,1,1,argmax_1098,[635],[2],[2],[261]
arc-gen,9,2,2,2,argmax_1157,[122],[0],[0],[261]
arc-gen,9,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,9,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,10,0,0,0,argmax_1039,[392],[1],[1],[261]
arc-gen,10,1,1,1,argmax_1098,[625],[2],[2],[261]
arc-gen,10,2,2,2,argmax_1157,[101],[0],[0],[261]
arc-gen,10,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,10,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,11,0,0,0,argmax_1039,[657],[2],[2],[261]
arc-gen,11,1,1,1,argmax_1098,[103],[0],[0],[261]
arc-gen,11,2,2,2,argmax_1157,[331],[1],[1],[261]
arc-gen,11,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,11,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,12,0,0,0,argmax_1039,[388],[1],[1],[261]
arc-gen,12,1,1,1,argmax_1098,[692],[2],[2],[261]
arc-gen,12,2,2,2,argmax_1157,[90],[0],[0],[261]
arc-gen,12,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,12,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,13,0,0,0,argmax_1039,[622],[2],[2],[261]
arc-gen,13,1,1,1,argmax_1098,[363],[1],[1],[261]
arc-gen,13,2,2,2,argmax_1157,[151],[0],[0],[261]
arc-gen,13,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,13,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,14,0,0,0,argmax_1039,[330],[1],[1],[261]
arc-gen,14,1,1,1,argmax_1098,[630],[2],[2],[261]
arc-gen,14,2,2,2,argmax_1157,[61],[0],[0],[261]
arc-gen,14,3,3,3,argmax_1216,[942],[3],[3],[261]
arc-gen,14,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,15,0,0,0,argmax_1039,[623],[2],[2],[261]
arc-gen,15,1,1,1,argmax_1098,[156],[0],[0],[261]
arc-gen,15,2,2,2,argmax_1157,[366],[1],[1],[261]
arc-gen,15,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,15,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,16,0,0,0,argmax_1039,[100],[0],[0],[261]
arc-gen,16,1,1,1,argmax_1098,[342],[1],[1],[261]
arc-gen,16,2,2,2,argmax_1157,[627],[2],[2],[261]
arc-gen,16,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,16,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,17,0,0,0,argmax_1039,[101],[0],[0],[261]
arc-gen,17,1,1,1,argmax_1098,[649],[2],[2],[261]
arc-gen,17,2,2,2,argmax_1157,[421],[1],[1],[261]
arc-gen,17,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,17,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,18,0,0,0,argmax_1039,[147],[0],[0],[261]
arc-gen,18,1,1,1,argmax_1098,[368],[1],[1],[261]
arc-gen,18,2,2,2,argmax_1157,[657],[2],[2],[261]
arc-gen,18,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,18,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,19,0,0,0,argmax_1039,[124],[0],[0],[261]
arc-gen,19,1,1,1,argmax_1098,[676],[2],[2],[261]
arc-gen,19,2,2,2,argmax_1157,[356],[1],[1],[261]
arc-gen,19,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,19,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,20,0,0,0,argmax_1039,[663],[2],[2],[261]
arc-gen,20,1,1,1,argmax_1098,[387],[1],[1],[261]
arc-gen,20,2,2,2,argmax_1157,[96],[0],[0],[261]
arc-gen,20,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,20,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,21,0,0,0,argmax_1039,[896],[3],[3],[261]
arc-gen,21,1,1,1,argmax_1098,[589],[2],[2],[261]
arc-gen,21,2,2,2,argmax_1157,[152],[0],[0],[261]
arc-gen,21,3,3,3,argmax_1216,[363],[1],[1],[261]
arc-gen,21,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,22,0,0,0,argmax_1039,[420],[1],[1],[261]
arc-gen,22,1,1,1,argmax_1098,[663],[2],[2],[261]
arc-gen,22,2,2,2,argmax_1157,[89],[0],[0],[261]
arc-gen,22,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,22,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,23,0,0,0,argmax_1039,[594],[2],[2],[261]
arc-gen,23,1,1,1,argmax_1098,[68],[0],[0],[261]
arc-gen,23,2,2,2,argmax_1157,[422],[1],[1],[261]
arc-gen,23,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,23,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,24,0,0,0,argmax_1039,[861],[3],[3],[261]
arc-gen,24,1,1,1,argmax_1098,[355],[1],[1],[261]
arc-gen,24,2,2,2,argmax_1157,[101],[0],[0],[261]
arc-gen,24,3,3,3,argmax_1216,[628],[2],[2],[261]
arc-gen,24,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,25,0,0,0,argmax_1039,[683],[2],[2],[261]
arc-gen,25,1,1,1,argmax_1098,[896],[3],[3],[261]
arc-gen,25,2,2,2,argmax_1157,[60],[0],[0],[261]
arc-gen,25,3,3,3,argmax_1216,[356],[1],[1],[261]
arc-gen,25,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,26,0,0,0,argmax_1039,[421],[1],[1],[261]
arc-gen,26,1,1,1,argmax_1098,[153],[0],[0],[261]
arc-gen,26,2,2,2,argmax_1157,[589],[2],[2],[261]
arc-gen,26,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,26,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,27,0,0,0,argmax_1039,[601],[2],[2],[261]
arc-gen,27,1,1,1,argmax_1098,[161],[0],[0],[261]
arc-gen,27,2,2,2,argmax_1157,[358],[1],[1],[261]
arc-gen,27,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,27,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,28,0,0,0,argmax_1039,[88],[0],[0],[261]
arc-gen,28,1,1,1,argmax_1098,[390],[1],[1],[261]
arc-gen,28,2,2,2,argmax_1157,[594],[2],[2],[261]
arc-gen,28,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,28,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,29,0,0,0,argmax_1039,[386],[1],[1],[261]
arc-gen,29,1,1,1,argmax_1098,[91],[0],[0],[261]
arc-gen,29,2,2,2,argmax_1157,[656],[2],[2],[261]
arc-gen,29,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,29,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,30,0,0,0,argmax_1039,[415],[1],[1],[261]
arc-gen,30,1,1,1,argmax_1098,[687],[2],[2],[261]
arc-gen,30,2,2,2,argmax_1157,[105],[0],[0],[261]
arc-gen,30,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,30,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,31,0,0,0,argmax_1039,[94],[0],[0],[261]
arc-gen,31,1,1,1,argmax_1098,[363],[1],[1],[261]
arc-gen,31,2,2,2,argmax_1157,[619],[2],[2],[261]
arc-gen,31,3,3,3,argmax_1216,[868],[3],[3],[261]
arc-gen,31,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,32,0,0,0,argmax_1039,[60],[0],[0],[261]
arc-gen,32,1,1,1,argmax_1098,[626],[2],[2],[261]
arc-gen,32,2,2,2,argmax_1157,[365],[1],[1],[261]
arc-gen,32,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,32,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,33,0,0,0,argmax_1039,[357],[1],[1],[261]
arc-gen,33,1,1,1,argmax_1098,[98],[0],[0],[261]
arc-gen,33,2,2,2,argmax_1157,[654],[2],[2],[261]
arc-gen,33,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,33,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,34,0,0,0,argmax_1039,[602],[2],[2],[261]
arc-gen,34,1,1,1,argmax_1098,[72],[0],[0],[261]
arc-gen,34,2,2,2,argmax_1157,[354],[1],[1],[261]
arc-gen,34,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,34,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,35,0,0,0,argmax_1039,[103],[0],[0],[261]
arc-gen,35,1,1,1,argmax_1098,[594],[2],[2],[261]
arc-gen,35,2,2,2,argmax_1157,[892],[3],[3],[261]
arc-gen,35,3,3,3,argmax_1216,[326],[1],[1],[261]
arc-gen,35,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,36,0,0,0,argmax_1039,[128],[0],[0],[261]
arc-gen,36,1,1,1,argmax_1098,[420],[1],[1],[261]
arc-gen,36,2,2,2,argmax_1157,[663],[2],[2],[261]
arc-gen,36,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,36,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,37,0,0,0,argmax_1039,[601],[2],[2],[261]
arc-gen,37,1,1,1,argmax_1098,[331],[1],[1],[261]
arc-gen,37,2,2,2,argmax_1157,[92],[0],[0],[261]
arc-gen,37,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,37,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,38,0,0,0,argmax_1039,[385],[1],[1],[261]
arc-gen,38,1,1,1,argmax_1098,[155],[0],[0],[261]
arc-gen,38,2,2,2,argmax_1157,[635],[2],[2],[261]
arc-gen,38,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,38,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,39,0,0,0,argmax_1039,[654],[2],[2],[261]
arc-gen,39,1,1,1,argmax_1098,[102],[0],[0],[261]
arc-gen,39,2,2,2,argmax_1157,[328],[1],[1],[261]
arc-gen,39,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,39,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,40,0,0,0,argmax_1039,[97],[0],[0],[261]
arc-gen,40,1,1,1,argmax_1098,[337],[1],[1],[261]
arc-gen,40,2,2,2,argmax_1157,[859],[3],[3],[261]
arc-gen,40,3,3,3,argmax_1216,[593],[2],[2],[261]
arc-gen,40,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,41,0,0,0,argmax_1039,[90],[0],[0],[261]
arc-gen,41,1,1,1,argmax_1098,[367],[1],[1],[261]
arc-gen,41,2,2,2,argmax_1157,[663],[2],[2],[261]
arc-gen,41,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,41,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,42,0,0,0,argmax_1039,[124],[0],[0],[261]
arc-gen,42,1,1,1,argmax_1098,[650],[2],[2],[261]
arc-gen,42,2,2,2,argmax_1157,[335],[1],[1],[261]
arc-gen,42,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,42,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,43,0,0,0,argmax_1039,[599],[2],[2],[261]
arc-gen,43,1,1,1,argmax_1098,[63],[0],[0],[261]
arc-gen,43,2,2,2,argmax_1157,[396],[1],[1],[261]
arc-gen,43,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,43,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,44,0,0,0,argmax_1039,[631],[2],[2],[261]
arc-gen,44,1,1,1,argmax_1098,[412],[1],[1],[261]
arc-gen,44,2,2,2,argmax_1157,[66],[0],[0],[261]
arc-gen,44,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,44,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,45,0,0,0,argmax_1039,[91],[0],[0],[261]
arc-gen,45,1,1,1,argmax_1098,[602],[2],[2],[261]
arc-gen,45,2,2,2,argmax_1157,[400],[1],[1],[261]
arc-gen,45,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,45,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,46,0,0,0,argmax_1039,[393],[1],[1],[261]
arc-gen,46,1,1,1,argmax_1098,[607],[2],[2],[261]
arc-gen,46,2,2,2,argmax_1157,[68],[0],[0],[261]
arc-gen,46,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,46,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,47,0,0,0,argmax_1039,[383],[1],[1],[261]
arc-gen,47,1,1,1,argmax_1098,[627],[2],[2],[261]
arc-gen,47,2,2,2,argmax_1157,[161],[0],[0],[261]
arc-gen,47,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,47,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,48,0,0,0,argmax_1039,[650],[2],[2],[261]
arc-gen,48,1,1,1,argmax_1098,[58],[0],[0],[261]
arc-gen,48,2,2,2,argmax_1157,[390],[1],[1],[261]
arc-gen,48,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,48,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,49,0,0,0,argmax_1039,[152],[0],[0],[261]
arc-gen,49,1,1,1,argmax_1098,[371],[1],[1],[261]
arc-gen,49,2,2,2,argmax_1157,[604],[2],[2],[261]
arc-gen,49,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,49,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,50,0,0,0,argmax_1039,[122],[0],[0],[261]
arc-gen,50,1,1,1,argmax_1098,[363],[1],[1],[261]
arc-gen,50,2,2,2,argmax_1157,[660],[2],[2],[261]
arc-gen,50,3,3,3,argmax_1216,[888],[3],[3],[261]
arc-gen,50,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,51,0,0,0,argmax_1039,[594],[2],[2],[261]
arc-gen,51,1,1,1,argmax_1098,[394],[1],[1],[261]
arc-gen,51,2,2,2,argmax_1157,[68],[0],[0],[261]
arc-gen,51,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,51,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,52,0,0,0,argmax_1039,[365],[1],[1],[261]
arc-gen,52,1,1,1,argmax_1098,[623],[2],[2],[261]
arc-gen,52,2,2,2,argmax_1157,[100],[0],[0],[261]
arc-gen,52,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,52,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,53,0,0,0,argmax_1039,[630],[2],[2],[261]
arc-gen,53,1,1,1,argmax_1098,[89],[0],[0],[261]
arc-gen,53,2,2,2,argmax_1157,[332],[1],[1],[261]
arc-gen,53,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,53,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,54,0,0,0,argmax_1039,[651],[2],[2],[261]
arc-gen,54,1,1,1,argmax_1098,[100],[0],[0],[261]
arc-gen,54,2,2,2,argmax_1157,[335],[1],[1],[261]
arc-gen,54,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,54,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,55,0,0,0,argmax_1039,[595],[2],[2],[261]
arc-gen,55,1,1,1,argmax_1098,[129],[0],[0],[261]
arc-gen,55,2,2,2,argmax_1157,[372],[1],[1],[261]
arc-gen,55,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,55,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,56,0,0,0,argmax_1039,[424],[1],[1],[261]
arc-gen,56,1,1,1,argmax_1098,[74],[0],[0],[261]
arc-gen,56,2,2,2,argmax_1157,[625],[2],[2],[261]
arc-gen,56,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,56,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,57,0,0,0,argmax_1039,[127],[0],[0],[261]
arc-gen,57,1,1,1,argmax_1098,[692],[2],[2],[261]
arc-gen,57,2,2,2,argmax_1157,[328],[1],[1],[261]
arc-gen,57,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,57,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,58,0,0,0,argmax_1039,[102],[0],[0],[261]
arc-gen,58,1,1,1,argmax_1098,[388],[1],[1],[261]
arc-gen,58,2,2,2,argmax_1157,[629],[2],[2],[261]
arc-gen,58,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,58,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,59,0,0,0,argmax_1039,[592],[2],[2],[261]
arc-gen,59,1,1,1,argmax_1098,[93],[0],[0],[261]
arc-gen,59,2,2,2,argmax_1157,[368],[1],[1],[261]
arc-gen,59,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,59,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,60,0,0,0,argmax_1039,[629],[2],[2],[261]
arc-gen,60,1,1,1,argmax_1098,[413],[1],[1],[261]
arc-gen,60,2,2,2,argmax_1157,[88],[0],[0],[261]
arc-gen,60,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,60,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,61,0,0,0,argmax_1039,[632],[2],[2],[261]
arc-gen,61,1,1,1,argmax_1098,[63],[0],[0],[261]
arc-gen,61,2,2,2,argmax_1157,[393],[1],[1],[261]
arc-gen,61,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,61,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,62,0,0,0,argmax_1039,[74],[0],[0],[261]
arc-gen,62,1,1,1,argmax_1098,[628],[2],[2],[261]
arc-gen,62,2,2,2,argmax_1157,[326],[1],[1],[261]
arc-gen,62,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,62,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,63,0,0,0,argmax_1039,[649],[2],[2],[261]
arc-gen,63,1,1,1,argmax_1098,[890],[3],[3],[261]
arc-gen,63,2,2,2,argmax_1157,[364],[1],[1],[261]
arc-gen,63,3,3,3,argmax_1216,[97],[0],[0],[261]
arc-gen,63,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,64,0,0,0,argmax_1039,[392],[1],[1],[261]
arc-gen,64,1,1,1,argmax_1098,[120],[0],[0],[261]
arc-gen,64,2,2,2,argmax_1157,[604],[2],[2],[261]
arc-gen,64,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,64,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,65,0,0,0,argmax_1039,[654],[2],[2],[261]
arc-gen,65,1,1,1,argmax_1098,[383],[1],[1],[261]
arc-gen,65,2,2,2,argmax_1157,[126],[0],[0],[261]
arc-gen,65,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,65,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,66,0,0,0,argmax_1039,[690],[2],[2],[261]
arc-gen,66,1,1,1,argmax_1098,[93],[0],[0],[261]
arc-gen,66,2,2,2,argmax_1157,[361],[1],[1],[261]
arc-gen,66,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,66,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,67,0,0,0,argmax_1039,[595],[2],[2],[261]
arc-gen,67,1,1,1,argmax_1098,[126],[0],[0],[261]
arc-gen,67,2,2,2,argmax_1157,[367],[1],[1],[261]
arc-gen,67,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,67,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,68,0,0,0,argmax_1039,[157],[0],[0],[261]
arc-gen,68,1,1,1,argmax_1098,[356],[1],[1],[261]
arc-gen,68,2,2,2,argmax_1157,[654],[2],[2],[261]
arc-gen,68,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,68,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,69,0,0,0,argmax_1039,[130],[0],[0],[261]
arc-gen,69,1,1,1,argmax_1098,[655],[2],[2],[261]
arc-gen,69,2,2,2,argmax_1157,[362],[1],[1],[261]
arc-gen,69,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,69,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,70,0,0,0,argmax_1039,[100],[0],[0],[261]
arc-gen,70,1,1,1,argmax_1098,[886],[3],[3],[261]
arc-gen,70,2,2,2,argmax_1157,[675],[2],[2],[261]
arc-gen,70,3,3,3,argmax_1216,[330],[1],[1],[261]
arc-gen,70,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,71,0,0,0,argmax_1039,[680],[2],[2],[261]
arc-gen,71,1,1,1,argmax_1098,[69],[0],[0],[261]
arc-gen,71,2,2,2,argmax_1157,[394],[1],[1],[261]
arc-gen,71,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,71,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,72,0,0,0,argmax_1039,[657],[2],[2],[261]
arc-gen,72,1,1,1,argmax_1098,[117],[0],[0],[261]
arc-gen,72,2,2,2,argmax_1157,[356],[1],[1],[261]
arc-gen,72,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,72,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,73,0,0,0,argmax_1039,[660],[2],[2],[261]
arc-gen,73,1,1,1,argmax_1098,[92],[0],[0],[261]
arc-gen,73,2,2,2,argmax_1157,[332],[1],[1],[261]
arc-gen,73,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,73,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,74,0,0,0,argmax_1039,[632],[2],[2],[261]
arc-gen,74,1,1,1,argmax_1098,[88],[0],[0],[261]
arc-gen,74,2,2,2,argmax_1157,[388],[1],[1],[261]
arc-gen,74,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,74,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,75,0,0,0,argmax_1039,[121],[0],[0],[261]
arc-gen,75,1,1,1,argmax_1098,[369],[1],[1],[261]
arc-gen,75,2,2,2,argmax_1157,[626],[2],[2],[261]
arc-gen,75,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,75,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,76,0,0,0,argmax_1039,[422],[1],[1],[261]
arc-gen,76,1,1,1,argmax_1098,[132],[0],[0],[261]
arc-gen,76,2,2,2,argmax_1157,[627],[2],[2],[261]
arc-gen,76,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,76,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,77,0,0,0,argmax_1039,[660],[2],[2],[261]
arc-gen,77,1,1,1,argmax_1098,[324],[1],[1],[261]
arc-gen,77,2,2,2,argmax_1157,[101],[0],[0],[261]
arc-gen,77,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,77,4,4,4,argmax_1275,[0],[0],[0],[261]
arc-gen,78,0,0,0,argmax_1039,[659],[2],[2],[261]
arc-gen,78,1,1,1,argmax_1098,[95],[0],[0],[261]
arc-gen,78,2,2,2,argmax_1157,[354],[1],[1],[261]
arc-gen,78,3,3,3,argmax_1216,[0],[0],[0],[261]
arc-gen,78,4,4,4,argmax_1275,[0],[0],[0],[261]
