task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,zero_initializers_replaced,zero_initializer_elements_replaced
task088,outputs\reference_6275_flat\task088.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task088_ZeroInitializerCompression.onnx,1008,1008,0,4099,4099,0,20,20,0,0
task089,outputs\reference_6275_flat\task089.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task089_ZeroInitializerCompression.onnx,876,876,0,11171,11171,0,24,24,0,0
task090,outputs\reference_6275_flat\task090.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task090_ZeroInitializerCompression.onnx,438,438,0,19660,19660,0,41,41,0,0
task091,outputs\reference_6275_flat\task091.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task091_ZeroInitializerCompression.onnx,702,702,0,4393,4393,0,14,14,0,0
task092,outputs\reference_6275_flat\task092.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task092_ZeroInitializerCompression.onnx,163,163,0,3438,3438,0,11,11,0,0
task093,outputs\reference_6275_flat\task093.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task093_ZeroInitializerCompression.onnx,354,354,0,6234,6234,0,10,10,0,0
task094,outputs\reference_6275_flat\task094.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task094_ZeroInitializerCompression.onnx,552,552,0,2932,2932,0,11,11,0,0
task095,outputs\reference_6275_flat\task095.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task095_ZeroInitializerCompression.onnx,4550,4550,0,3950,3950,0,2,2,0,0
task096,outputs\reference_6275_flat\task096.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task096_ZeroInitializerCompression.onnx,3998,3836,-162,42567,42632,65,47,47,1,60
task097,outputs\reference_6275_flat\task097.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task097_ZeroInitializerCompression.onnx,27,27,0,904,904,0,1,1,0,0
task098,outputs\reference_6275_flat\task098.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task098_ZeroInitializerCompression.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task099,outputs\reference_6275_flat\task099.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task099_ZeroInitializerCompression.onnx,24550,24550,0,19839,19839,0,2,2,0,0
task100,outputs\reference_6275_flat\task100.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task100_ZeroInitializerCompression.onnx,335,335,0,4954,4954,0,14,14,0,0
task101,outputs\reference_6275_flat\task101.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task101_ZeroInitializerCompression.onnx,594,594,0,19538,19538,0,27,27,0,0
task102,outputs\reference_6275_flat\task102.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task102_ZeroInitializerCompression.onnx,1809,1809,0,6482,6482,0,25,25,0,0
task103,outputs\reference_6275_flat\task103.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task103_ZeroInitializerCompression.onnx,180,180,0,979,979,0,9,9,0,0
task104,outputs\reference_6275_flat\task104.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task104_ZeroInitializerCompression.onnx,3066,1194,-1872,3505,2495,-1010,16,16,2,648
task105,outputs\reference_6275_flat\task105.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task105_ZeroInitializerCompression.onnx,606,606,0,8053,8053,0,18,18,0,0
task106,outputs\reference_6275_flat\task106.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task106_ZeroInitializerCompression.onnx,746,746,0,2939,2939,0,16,16,0,0
task107,outputs\reference_6275_flat\task107.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task107_ZeroInitializerCompression.onnx,42039,42039,0,31191,31191,0,30,30,0,0
task108,outputs\reference_6275_flat\task108.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task108_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task109,outputs\reference_6275_flat\task109.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task109_ZeroInitializerCompression.onnx,2280,516,-1764,5257,4516,-741,14,14,1,900
task110,outputs\reference_6275_flat\task110.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task110_ZeroInitializerCompression.onnx,2945,2945,0,20525,20525,0,52,52,0,0
task111,outputs\reference_6275_flat\task111.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task111_ZeroInitializerCompression.onnx,225,225,0,1499,1499,0,8,8,0,0
task112,outputs\reference_6275_flat\task112.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task112_ZeroInitializerCompression.onnx,564,564,0,3987,3987,0,18,18,0,0
task113,outputs\reference_6275_flat\task113.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task113_ZeroInitializerCompression.onnx,270,270,0,499,499,0,1,1,0,0
task114,outputs\reference_6275_flat\task114.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task114_ZeroInitializerCompression.onnx,924,924,0,4671,4671,0,20,20,0,0
task115,outputs\reference_6275_flat\task115.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task115_ZeroInitializerCompression.onnx,423,423,0,3952,3952,0,20,20,0,0
task116,outputs\reference_6275_flat\task116.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task116_ZeroInitializerCompression.onnx,270,270,0,479,479,0,1,1,0,0
task117,outputs\reference_6275_flat\task117.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task117_ZeroInitializerCompression.onnx,1187,1187,0,7592,7592,0,39,39,0,0
task118,outputs\reference_6275_flat\task118.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task118_ZeroInitializerCompression.onnx,522,522,0,4432,4432,0,13,13,0,0
task119,outputs\reference_6275_flat\task119.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task119_ZeroInitializerCompression.onnx,612,612,0,13672,13672,0,22,22,0,0
task120,outputs\reference_6275_flat\task120.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task120_ZeroInitializerCompression.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task121,outputs\reference_6275_flat\task121.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task121_ZeroInitializerCompression.onnx,366,366,0,3339,3339,0,17,17,0,0
task122,outputs\reference_6275_flat\task122.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task122_ZeroInitializerCompression.onnx,12550,12550,0,10236,10236,0,2,2,0,0
task123,outputs\reference_6275_flat\task123.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task123_ZeroInitializerCompression.onnx,8472,8472,0,9379,9379,0,12,12,0,0
task124,outputs\reference_6275_flat\task124.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task124_ZeroInitializerCompression.onnx,3087,3087,0,2840,2840,0,16,16,0,0
task125,outputs\reference_6275_flat\task125.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task125_ZeroInitializerCompression.onnx,639,225,-414,3012,2918,-94,9,9,1,225
task126,outputs\reference_6275_flat\task126.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task126_ZeroInitializerCompression.onnx,347,347,0,3088,3088,0,11,11,0,0
task127,outputs\reference_6275_flat\task127.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task127_ZeroInitializerCompression.onnx,4500,4500,0,3772,3772,0,1,1,0,0
task128,outputs\reference_6275_flat\task128.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task128_ZeroInitializerCompression.onnx,744,744,0,2394,2394,0,13,13,0,0
task129,outputs\reference_6275_flat\task129.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task129_ZeroInitializerCompression.onnx,255,255,0,785,785,0,6,6,0,0
task130,outputs\reference_6275_flat\task130.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task130_ZeroInitializerCompression.onnx,358,358,0,1164,1164,0,4,4,0,0
task131,outputs\reference_6275_flat\task131.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task131_ZeroInitializerCompression.onnx,3135,471,-2664,7860,6203,-1657,17,17,1,900
task132,outputs\reference_6275_flat\task132.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task132_ZeroInitializerCompression.onnx,366,366,0,2585,2585,0,16,16,0,0
task133,outputs\reference_6275_flat\task133.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task133_ZeroInitializerCompression.onnx,1869,1869,0,14130,14130,0,54,54,0,0
task134,outputs\reference_6275_flat\task134.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task134_ZeroInitializerCompression.onnx,486,486,0,4599,4599,0,26,26,0,0
task135,outputs\reference_6275_flat\task135.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task135_ZeroInitializerCompression.onnx,0,0,0,251,251,0,0,0,0,0
task136,outputs\reference_6275_flat\task136.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task136_ZeroInitializerCompression.onnx,576,576,0,2827,2827,0,9,9,0,0
task137,outputs\reference_6275_flat\task137.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task137_ZeroInitializerCompression.onnx,248,248,0,2835,2835,0,9,9,0,0
task138,outputs\reference_6275_flat\task138.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task138_ZeroInitializerCompression.onnx,461,461,0,8806,8806,0,17,17,0,0
task139,outputs\reference_6275_flat\task139.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task139_ZeroInitializerCompression.onnx,988,862,-126,3865,3929,64,22,22,1,81
task140,outputs\reference_6275_flat\task140.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task140_ZeroInitializerCompression.onnx,72,72,0,394,394,0,4,4,0,0
task141,outputs\reference_6275_flat\task141.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task141_ZeroInitializerCompression.onnx,409,409,0,2345,2345,0,10,10,0,0
task142,outputs\reference_6275_flat\task142.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task142_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task143,outputs\reference_6275_flat\task143.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task143_ZeroInitializerCompression.onnx,441,441,0,2144,2144,0,15,15,0,0
task144,outputs\reference_6275_flat\task144.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task144_ZeroInitializerCompression.onnx,306,294,-12,1321,1463,142,9,9,1,16
task145,outputs\reference_6275_flat\task145.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task145_ZeroInitializerCompression.onnx,2979,315,-2664,19982,18321,-1661,34,34,1,900
task146,outputs\reference_6275_flat\task146.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task146_ZeroInitializerCompression.onnx,203,203,0,1894,1894,0,10,10,0,0
task147,outputs\reference_6275_flat\task147.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task147_ZeroInitializerCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task148,outputs\reference_6275_flat\task148.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task148_ZeroInitializerCompression.onnx,1221,393,-828,6750,6289,-461,16,16,1,288
task149,outputs\reference_6275_flat\task149.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task149_ZeroInitializerCompression.onnx,455,455,0,859,859,0,2,2,0,0
task150,outputs\reference_6275_flat\task150.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task150_ZeroInitializerCompression.onnx,196,196,0,618,618,0,6,6,0,0
task151,outputs\reference_6275_flat\task151.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task151_ZeroInitializerCompression.onnx,4550,4550,0,3880,3880,0,2,2,0,0
task152,outputs\reference_6275_flat\task152.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task152_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task153,outputs\reference_6275_flat\task153.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task153_ZeroInitializerCompression.onnx,1149,1149,0,11725,11725,0,45,45,0,0
task154,outputs\reference_6275_flat\task154.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task154_ZeroInitializerCompression.onnx,3318,3318,0,6366,6366,0,14,14,0,0
task155,outputs\reference_6275_flat\task155.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task155_ZeroInitializerCompression.onnx,196,196,0,618,618,0,6,6,0,0
